"phylum","class","order","family","genus","species"
"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Habrophlebiodes","Habrophlebiodes americana"
"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Leptophlebia",
"Arthropoda","Insecta","Ephemeroptera",,,
"Arthropoda","Insecta","Hemiptera","Corixidae",,
"Arthropoda","Insecta","Hemiptera","Veliidae","Microvelia","Microvelia americana"
"Arthropoda","Insecta","Hemiptera","Veliidae","Rhagovelia",
"Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","Nigronia fasciatus"
"Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","Nigronia serricornis"
"Arthropoda","Insecta","Odonata","Calopterygidae","Calopteryx","Calopteryx maculata"
"Arthropoda","Insecta","Odonata","Calopterygidae","Calopteryx",
"Arthropoda","Insecta","Odonata","Cordulegastridae","Cordulegaster",
"Arthropoda","Insecta","Odonata","Gomphidae","Gomphus","Gomphus graslinellus"
"Arthropoda","Insecta","Odonata","Gomphidae","Gomphus","Gomphus lividus"
"Arthropoda","Insecta","Odonata","Gomphidae","Gomphus",
"Arthropoda","Insecta","Odonata","Gomphidae","Stylogomphus",
"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Alloperla",
"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Haploperla","Haploperla brevis"
"Arthropoda","Insecta","Plecoptera","Leuctridae",,
"Arthropoda","Insecta","Plecoptera","Nemouridae","Amphinemura",
"Arthropoda","Insecta","Plecoptera","Peltoperlidae","Tallaperla","Tallaperla cornelia"
"Arthropoda","Insecta","Plecoptera","Peltoperlidae","Tallaperla",
"Arthropoda","Insecta","Plecoptera","Perlidae","Eccoptura","Eccoptura xanthenes"
"Arthropoda","Insecta","Plecoptera","Perlidae","Eccoptura",
"Arthropoda","Insecta","Plecoptera","Perlidae","Perlesta","Perlesta nelsoni"
"Arthropoda","Insecta","Plecoptera","Perlidae",,
"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","Isoperla nr. holochlora BOLD:AAB1101"
"Arthropoda","Insecta","Trichoptera","Calamoceratidae","Anisocentropus","Anisocentropus pyraloides"
"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche",
"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona metaqui"
"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona","Diplectrona modesta"
"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona",
"Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma carrolli"
"Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma griseum"
"Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma latipenne"
"Arthropoda","Insecta","Trichoptera","Leptoceridae","Mystacides","Mystacides sepulchralis"
"Arthropoda","Insecta","Trichoptera","Limnephilidae","Pycnopsyche","Pycnopsyche antica"
"Arthropoda","Insecta","Trichoptera","Limnephilidae","Pycnopsyche","Pycnopsyche luculenta"
"Arthropoda","Insecta","Trichoptera","Philopotamidae","Chimarra",
"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","Rhyacophila ledra"
"Arthropoda","Malacostraca","Decapoda","Cambaridae","Cambarus",
"Arthropoda","Malacostraca","Decapoda","Cambaridae","Lacunicambarus","Lacunicambarus acanthura"
"Arthropoda","Malacostraca","Decapoda","Cambaridae",,
"Mollusca","Gastropoda","unk_order","Pleuroceridae","Elimia",
