"phylum","class","order","family","genus","species","Lowest_ID"
"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Ephemerella",,"Ephemerella"
"Arthropoda","Insecta","Ephemeroptera","Ephemeridae","Hexagenia",,"Hexagenia"
"Arthropoda","Insecta","Plecoptera","Perlidae","Eccoptura","Eccoptura xanthenes","Eccoptura xanthenes"
"Arthropoda","Arachnida","Trombidiformes",,,,"Trombidiformes"
"Arthropoda","Insecta","Diptera","Chironomidae","Thienemannimyia",,"Thienemannimyia"
"Arthropoda","Insecta","Ephemeroptera",,,,"Ephemeroptera"
"Arthropoda","Insecta","Plecoptera","Leuctridae","Leuctra","Leuctra tenuis","Leuctra tenuis"
"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche",,"Cheumatopsyche"
"Arthropoda","Insecta","Diptera","Chironomidae","Psectrocladius",,"Psectrocladius"
"Arthropoda","Insecta","Diptera","Chironomidae","Stempellinella",,"Stempellinella"
"Arthropoda","Insecta","Diptera","Chironomidae","Thienemanniella",,"Thienemanniella"
"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Leucrocuta",,"Leucrocuta"
"Arthropoda","Insecta","Megaloptera","Corydalidae","Nigronia","Nigronia serricornis","Nigronia serricornis"
"Arthropoda","Insecta","Odonata","Gomphidae","Gomphus","Gomphus graslinellus","Gomphus graslinellus"
"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Cheumatopsyche","Cheumatopsyche enigma","Cheumatopsyche enigma"
"Arthropoda","Insecta","Trichoptera","Leptoceridae","Triaenodes","Triaenodes ignitus","Triaenodes ignitus"
"Arthropoda","Insecta","Trichoptera","Leptoceridae","Triaenodes","Triaenodes ochraceus","Triaenodes ochraceus"
"Arthropoda","Insecta","Trichoptera","Molannidae","Molanna","Molanna tryphena","Molanna tryphena"
"Arthropoda","Insecta","Coleoptera","Elmidae","Macronychus",,"Macronychus"
"Arthropoda","Insecta","Diptera","Chironomidae","Cricotopus",,"Cricotopus"
"Arthropoda","Insecta","Diptera","Empididae","Hemerodromia",,"Hemerodromia"
"Annelida","Clitellata","Haplotaxida","Naididae","Aulodrilus","Aulodrilus pluriseta","Aulodrilus pluriseta"
"Arthropoda","Arachnida","Mesostigmata","Ascidae","Platyseius",,"Platyseius"
"Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","Macrocyclops",,"Macrocyclops"
"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","Simulium verecundum","Simulium verecundum"
"Arthropoda","Insecta","Ephemeroptera","Baetidae",,,"Baetidae"
"Arthropoda","Insecta","Lepidoptera","Crambidae","Elophila","Elophila icciusalis","Elophila icciusalis"
"Arthropoda","Insecta","Megaloptera","Sialidae","Sialis",,"Sialis"
"Arthropoda","Insecta","Odonata","Calopterygidae","Calopteryx","Calopteryx maculata","Calopteryx maculata"
"Arthropoda","Insecta","Odonata","Gomphidae","Gomphus","Gomphus lividus","Gomphus lividus"
"Nemertea","Enopla","Monostilifera","Tetrastemmatidae","Prostoma","Prostoma cf. eilhardi EZ-2019","Prostoma cf. eilhardi EZ-2019"
"Arthropoda","Insecta","Diptera","Ceratopogonidae","Atrichopogon",,"Atrichopogon"
"Arthropoda","Insecta","Diptera","Chironomidae","Chironomus",,"Chironomus"
"Arthropoda","Insecta","Diptera","Dolichopodidae",,,"Dolichopodidae"
"Arthropoda","Insecta","Odonata","Aeshnidae","Boyeria",,"Boyeria"
"Arthropoda","Insecta","Odonata","Cordulegastridae","Cordulegaster",,"Cordulegaster"
"Arthropoda","Insecta","Trichoptera","Dipseudopsidae","Phylocentropus","Phylocentropus carolinus","Phylocentropus carolinus"
"Arthropoda","Insecta","Diptera","Chironomidae","Clinotanypus",,"Clinotanypus"
"Arthropoda","Insecta","Diptera","Chironomidae","Corynoneura",,"Corynoneura"
"Arthropoda","Insecta","Diptera","Chironomidae","Lauterborniella","Lauterborniella agrayloides","Lauterborniella agrayloides"
"Arthropoda","Insecta","Diptera","Chironomidae","Tribelos",,"Tribelos"
"Arthropoda","Insecta","Diptera","Psychodidae",,,"Psychodidae"
"Arthropoda","Insecta","Diptera","Tabanidae","Hybomitra",,"Hybomitra"
"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella",,"Eurylophella"
"Arthropoda","Insecta","Odonata","Gomphidae","Gomphus",,"Gomphus"
"Arthropoda","Insecta","Trichoptera","Calamoceratidae","Anisocentropus","Anisocentropus pyraloides","Anisocentropus pyraloides"
"Arthropoda","Insecta","Trichoptera","Leptoceridae","Mystacides","Mystacides sepulchralis","Mystacides sepulchralis"
"Mollusca","Gastropoda","unk_order","Pleuroceridae","Elimia",,"Elimia"
"Arthropoda","Insecta","Coleoptera","Elmidae","Promoresia",,"Promoresia"
"Arthropoda","Insecta","Diptera","Simuliidae",,,"Simuliidae"
"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acerpenna",,"Acerpenna"
"Arthropoda","Insecta","Trichoptera","Leptoceridae","Oecetis","Oecetis georgia","Oecetis georgia"
"Arthropoda","Insecta","Coleoptera","Ptilodactylidae","Ptilodactyla","Ptilodactyla serricollis","Ptilodactyla serricollis"
"Arthropoda","Insecta","Diptera","Chironomidae","Tanytarsus","Tanytarsus guerlus","Tanytarsus guerlus"
"Arthropoda","Insecta","Hemiptera","Veliidae","Rhagovelia",,"Rhagovelia"
"Arthropoda","Insecta","Odonata","Gomphidae","Stylogomphus",,"Stylogomphus"
"Arthropoda","Insecta","Plecoptera","Perlodidae","Isoperla","Isoperla nr. holochlora BOLD:AAB1101","Isoperla nr. holochlora BOLD:AAB1101"
"Annelida","Clitellata","Crassiclitellata","Megascolecidae","Amynthas","Amynthas corticis","Amynthas corticis"
"Arthropoda","Arachnida","Sarcoptiformes","Oripodidae",,,"Oripodidae"
"Arthropoda","Insecta","Diptera","Chironomidae","Polypedilum","Polypedilum aviceps","Polypedilum aviceps"
"Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula abdominalis","Tipula abdominalis"
"Arthropoda","Insecta","Plecoptera","Leuctridae","Paraleuctra",,"Paraleuctra"
"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","Simulium nr. Lakei JKM-2011","Simulium nr. Lakei JKM-2011"
"Arthropoda","Arachnida","Sarcoptiformes","Oribatulidae","Lucoppia",,"Lucoppia"
"Arthropoda","Collembola","Entomobryomorpha",,,,"Entomobryomorpha"
"Arthropoda","Insecta","Coleoptera","Psephenidae","Ectopria",,"Ectopria"
"Arthropoda","Insecta","Diptera","Ephydridae","Hydrellia","Hydrellia nobilis","Hydrellia nobilis"
"Arthropoda","Insecta","Diptera","Tipulidae","Tipula",,"Tipula"
"Arthropoda","Arachnida","Araneae","Tetragnathidae","Tetragnatha","Tetragnatha elongata","Tetragnatha elongata"
"Arthropoda","Insecta","Trichoptera","Odontoceridae","Psilotreta",,"Psilotreta"
"Arthropoda","Arachnida","Sarcoptiformes",,,,"Sarcoptiformes"
"Arthropoda","Insecta","Diptera","Ceratopogonidae","Dasyhelea",,"Dasyhelea"
"Arthropoda","Insecta","Diptera","Chironomidae","Paratanytarsus",,"Paratanytarsus"
"Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma carrolli","Lepidostoma carrolli"
"Arthropoda","Insecta","Coleoptera","Staphylinidae","Alisalia",,"Alisalia"
"Arthropoda","Insecta","Diptera","Tipulidae",,,"Tipulidae"
"Arthropoda","Insecta","Diptera","Chironomidae","Microtendipes",,"Microtendipes"
"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona",,"Diplectrona"
"Arthropoda","Insecta","Trichoptera","Philopotamidae","Dolophilodes",,"Dolophilodes"
"Arthropoda","Insecta","Coleoptera","Staphylinidae",,,"Staphylinidae"
