"phylum","class","order","family","genus","species","Lowest_ID"
"Arthropoda","Insecta","Diptera","Simuliidae",,,"Simuliidae"
"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella","Eurylophella verisimilis","Eurylophella verisimilis"
"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Haploperla","Haploperla brevis","Haploperla brevis"
"Arthropoda","Insecta","Coleoptera","Psephenidae","Psephenus",,"Psephenus"
"Arthropoda","Insecta","Ephemeroptera","Baetidae","Procloeon",,"Procloeon"
"Arthropoda","Insecta","Odonata","Calopterygidae","Calopteryx","Calopteryx maculata","Calopteryx maculata"
"Arthropoda","Insecta","Trichoptera","Hydropsychidae","Diplectrona",,"Diplectrona"
"Arthropoda","Insecta","Diptera","Dixidae",,,"Dixidae"
"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Habrophlebiodes","Habrophlebiodes americana","Habrophlebiodes americana"
"Arthropoda","Insecta","Diptera","Limoniidae",,,"Limoniidae"
"Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula abdominalis","Tipula abdominalis"
"Arthropoda","Insecta","Ephemeroptera","Ephemeridae","Ephemera","Ephemera blanda","Ephemera blanda"
"Arthropoda","Insecta","Odonata","Gomphidae","Gomphus","Gomphus lividus","Gomphus lividus"
"Arthropoda","Insecta","Plecoptera","Nemouridae","Amphinemura",,"Amphinemura"
"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","Rhyacophila ledra","Rhyacophila ledra"
"Arthropoda","Insecta","Diptera","Chironomidae","Polypedilum",,"Polypedilum"
"Arthropoda","Insecta","Diptera","Chironomidae","Rheocricotopus",,"Rheocricotopus"
"Arthropoda","Insecta","Diptera","Chironomidae","Stempellinella","Stempellinella fimbriata","Stempellinella fimbriata"
"Arthropoda","Insecta","Ephemeroptera","Baetidae","Acerpenna",,"Acerpenna"
"Arthropoda","Insecta","Ephemeroptera","Ephemerellidae","Eurylophella",,"Eurylophella"
"Arthropoda","Insecta","Diptera","Ceratopogonidae","Stilobezzia",,"Stilobezzia"
"Arthropoda","Insecta","Diptera","Chironomidae","Tvetenia","Tvetenia paucunca","Tvetenia paucunca"
"Arthropoda","Insecta","Diptera","Simuliidae","Prosimulium","Prosimulium mixtum","Prosimulium mixtum"
"Arthropoda","Insecta","Diptera","Simuliidae","Stegopterna",,"Stegopterna"
"Arthropoda","Insecta","Trichoptera","Calamoceratidae","Anisocentropus","Anisocentropus pyraloides","Anisocentropus pyraloides"
"Arthropoda","Arachnida","Araneae","Tetragnathidae","Tetragnatha","Tetragnatha viridis","Tetragnatha viridis"
"Arthropoda","Insecta","Coleoptera","Psephenidae","Ectopria",,"Ectopria"
"Arthropoda","Insecta","Diptera","Chironomidae","Thienemanniella","Thienemanniella xena","Thienemanniella xena"
"Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma griseum","Lepidostoma griseum"
"Arthropoda","Insecta","Trichoptera","Philopotamidae","Chimarra",,"Chimarra"
"Arthropoda","Insecta","Diptera","Chironomidae","Lauterborniella","Lauterborniella agrayloides","Lauterborniella agrayloides"
"Arthropoda","Insecta","Diptera","Chironomidae","Tribelos",,"Tribelos"
"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Leucrocuta",,"Leucrocuta"
"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Maccaffertium","Maccaffertium ithaca","Maccaffertium ithaca"
"Arthropoda","Insecta","Trichoptera","Leptoceridae","Mystacides","Mystacides sepulchralis","Mystacides sepulchralis"
"Arthropoda","Insecta","Diptera","Chironomidae","Clinotanypus",,"Clinotanypus"
"Arthropoda","Insecta","Diptera","Chironomidae","Rheocricotopus","Rheocricotopus robacki","Rheocricotopus robacki"
"Arthropoda","Insecta","Plecoptera","Chloroperlidae","Alloperla",,"Alloperla"
"Arthropoda","Insecta","Trichoptera","Limnephilidae","Pycnopsyche","Pycnopsyche luculenta","Pycnopsyche luculenta"
"Annelida","Clitellata","Haplotaxida","Naididae","Aulodrilus","Aulodrilus pluriseta","Aulodrilus pluriseta"
"Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","Macrocyclops",,"Macrocyclops"
"Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae",,,"Cyclopidae"
"Arthropoda","Insecta","Coleoptera","Elmidae","Macronychus",,"Macronychus"
"Arthropoda","Insecta","Diptera","Chironomidae","Ablabesmyia",,"Ablabesmyia"
"Arthropoda","Insecta","Diptera","Chironomidae","Procladius",,"Procladius"
"Arthropoda","Insecta","Ephemeroptera","Baetidae",,,"Baetidae"
"Arthropoda","Insecta","Ephemeroptera","Leptophlebiidae","Leptophlebia",,"Leptophlebia"
"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Stenacron","Stenacron pallidum","Stenacron pallidum"
"Arthropoda","Insecta","Ephemeroptera","Ephemeridae","Hexagenia",,"Hexagenia"
"Arthropoda","Insecta","Plecoptera","Perlidae",,,"Perlidae"
"Arthropoda","Malacostraca","Decapoda","Cambaridae",,,"Cambaridae"
"Arthropoda","Arachnida","Sarcoptiformes","Oripodidae",,,"Oripodidae"
"Arthropoda","Insecta","Hemiptera","Corixidae",,,"Corixidae"
"Arthropoda","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","Lepidostoma carrolli","Lepidostoma carrolli"
